Date,Visitor,PTS,Home,PTS
2021-10-19,BKN,104,MIL,127
2021-10-19,GSW,121,LAL,114
2021-10-20,IND,122,CHA,123
2021-10-20,CHI,94,DET,88
2021-10-20,BOS,134,NYK,138
2021-10-20,WAS,98,TOR,83
2021-10-20,CLE,121,MEM,132
2021-10-20,HOU,106,MIN,124
2021-10-20,PHI,117,NOP,97
2021-10-20,ORL,97,SAS,123
2021-10-20,OKC,86,UTA,107
2021-10-20,SAC,124,POR,121
2021-10-20,DEN,110,PHX,98
2021-10-21,DAL,87,ATL,113
2021-10-21,MIL,95,MIA,137
2021-10-21,LAC,113,GSW,115
2021-10-22,NYK,121,ORL,96
2021-10-22,IND,134,WAS,135
2021-10-22,CHA,123,CLE,112
2021-10-22,TOR,115,BOS,83
2021-10-22,BKN,114,PHI,109
2021-10-22,OKC,91,HOU,124
2021-10-22,NOP,112,CHI,128
2021-10-22,SAS,96,DEN,102
2021-10-22,PHX,115,LAL,105
2021-10-22,UTA,110,SAC,101
2021-10-23,ATL,95,CLE,101
2021-10-23,MIA,91,IND,102
2021-10-23,DAL,103,TOR,95
2021-10-23,DET,82,CHI,97
2021-10-23,NOP,89,MIN,96
2021-10-23,MIL,121,SAS,111
2021-10-23,PHX,105,POR,134
2021-10-23,MEM,120,LAC,114
2021-10-24,CHA,111,BKN,95
2021-10-24,BOS,107,HOU,97
2021-10-24,ORL,110,NYK,104
2021-10-24,PHI,115,OKC,103
2021-10-24,GSW,119,SAC,107
2021-10-24,MEM,118,LAL,121
2021-10-25,BOS,140,CHA,129
2021-10-25,MIL,119,IND,109
2021-10-25,CHI,111,TOR,108
2021-10-25,ORL,90,MIA,107
2021-10-25,WAS,90,BKN,104
2021-10-25,DET,104,ATL,122
2021-10-25,NOP,107,MIN,98
2021-10-25,CLE,99,DEN,87
2021-10-25,POR,86,LAC,116
2021-10-26,PHI,99,NYK,112
2021-10-26,GSW,106,OKC,98
2021-10-26,LAL,125,SAS,121
2021-10-26,HOU,106,DAL,116
2021-10-26,DEN,110,UTA,122
2021-10-27,CHA,120,ORL,111
2021-10-27,WAS,116,BOS,107
2021-10-27,MIA,106,BKN,93
2021-10-27,IND,100,TOR,118
2021-10-27,ATL,102,NOP,99
2021-10-27,MIN,113,MIL,108
2021-10-27,LAL,115,OKC,123
2021-10-27,SAC,110,PHX,107
2021-10-27,MEM,96,POR,116
2021-10-27,CLE,92,LAC,79
2021-10-28,ATL,111,WAS,122
2021-10-28,DET,102,PHI,110
2021-10-28,UTA,122,HOU,91
2021-10-28,NYK,104,CHI,103
2021-10-28,SAS,99,DAL,104
2021-10-28,MEM,104,GSW,101
2021-10-29,ORL,109,TOR,110
2021-10-29,CHA,99,MIA,114
2021-10-29,IND,98,BKN,105
2021-10-29,SAC,113,NOP,109
2021-10-29,DAL,75,DEN,106
2021-10-29,LAC,92,POR,111
2021-10-29,CLE,101,LAL,113
2021-10-30,BOS,112,WAS,115
2021-10-30,ORL,103,DET,110
2021-10-30,NYK,123,NOP,117
2021-10-30,TOR,97,IND,94
2021-10-30,ATL,94,PHI,122
2021-10-30,UTA,99,CHI,107
